ACTIVEC,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL,RELA_DEP,RELA_INDEP,TOTAL_TRABAJADORES,TASA_ACCIDENTES,TASA_MUERTES
1462003,8,8,8,0,0,0,1159.0,12.0,1171.0,6.8318,6.8318
2463201,8,8,8,0,0,0,2570.0,40.0,2610.0,3.0651,3.0651
5439004,8,8,8,0,0,0,4573.0,33.0,4606.0,1.7369,1.7369
3101203,7,7,7,0,0,0,607.0,1.0,608.0,11.5132,11.5132
5813001,7,7,7,0,0,0,1622.0,30.0,1652.0,4.2373,4.2373
1854101,7,7,7,0,0,0,17494.0,1213.0,18707.0,0.3742,0.3742
2821101,7,7,7,0,0,0,2866.0,144.0,3010.0,2.3256,2.3256
5163001,7,7,7,0,0,0,999.0,61.0,1060.0,6.6038,6.6038
3221901,7,7,7,0,0,0,971.0,5.0,976.0,7.1721,7.1721
1473201,7,7,7,0,0,0,1792.0,6.0,1798.0,3.8932,3.8932
4531001,7,7,7,0,0,0,4686.0,16.0,4702.0,1.4887,1.4887
1466401,7,7,7,0,0,0,3349.0,24.0,3373.0,2.0753,2.0753
3108901,7,7,7,0,0,0,1492.0,24.0,1516.0,4.6174,4.6174
1461001,7,7,7,0,0,0,896.0,5.0,901.0,7.7691,7.7691
3360002,7,7,7,0,0,0,559.0,37.0,596.0,11.745,11.745
3109001,7,7,7,0,0,0,810.0,17.0,827.0,8.4643,8.4643
2873001,7,7,7,0,0,0,1063.0,151.0,1214.0,5.7661,5.7661
5433002,7,7,7,0,0,0,1473.0,21.0,1494.0,4.6854,4.6854
2011201,7,7,7,0,0,0,1309.0,16.0,1325.0,5.283,5.283
1475401,6,6,6,0,0,0,1865.0,26.0,1891.0,3.1729,3.1729
4331201,6,6,6,0,0,0,1130.0,123.0,1253.0,4.7885,4.7885
3104002,6,6,6,0,0,0,981.0,8.0,989.0,6.0667,6.0667
2477401,6,6,6,0,0,0,1379.0,20.0,1399.0,4.2888,4.2888
4110101,6,6,6,0,0,0,767.0,110.0,877.0,6.8415,6.8415
4222101,6,6,6,0,0,0,867.0,9.0,876.0,6.8493,6.8493
3102001,6,6,6,0,0,0,754.0,5.0,759.0,7.9051,7.9051
4239501,6,6,6,0,0,0,699.0,39.0,738.0,8.1301,8.1301
3466501,6,6,6,0,0,0,1760.0,5.0,1765.0,3.3994,3.3994
3611001,6,6,6,0,0,0,1747.0,69.0,1816.0,3.304,3.304
3210001,6,6,6,0,0,0,1707.0,3.0,1710.0,3.5088,3.5088
1472401,6,6,6,0,0,0,1225.0,2.0,1227.0,4.89,4.89
2011301,6,6,6,0,0,0,942.0,39.0,981.0,6.1162,6.1162
4161001,6,6,6,0,0,0,712.0,28.0,740.0,8.1081,8.1081
1475201,6,6,6,0,0,0,6010.0,17.0,6027.0,0.9955,0.9955
5351101,6,6,6,0,0,0,2224.0,130.0,2354.0,2.5489,2.5489
5072203,6,6,6,0,0,0,262.0,0.0,262.0,22.9008,22.9008
2551901,6,6,6,0,0,0,846.0,48.0,894.0,6.7114,6.7114
1852301,6,6,6,0,0,0,8114.0,37.0,8151.0,0.7361,0.7361
5431202,6,6,6,0,0,0,3086.0,48.0,3134.0,1.9145,1.9145
1651101,6,6,6,0,0,0,4749.0,1120.0,5869.0,1.0223,1.0223
2561201,5,5,5,0,0,0,3300.0,51.0,3351.0,1.4921,1.4921
2108901,5,5,5,0,0,0,2396.0,34.0,2430.0,2.0576,2.0576
2024001,5,5,5,0,0,0,961.0,62.0,1023.0,4.8876,4.8876
3932901,5,5,5,0,0,0,5570.0,305.0,5875.0,0.8511,0.8511
2104001,5,5,5,0,0,0,1162.0,3.0,1165.0,4.2918,4.2918
1731001,5,5,5,0,0,0,9131.0,537.0,9668.0,0.5172,0.5172
3432101,5,5,5,0,0,0,2631.0,49.0,2680.0,1.8657,1.8657
5051003,5,5,5,0,0,0,498.0,2.0,500.0,10.0,10.0
5411202,5,5,5,0,0,0,918.0,771.0,1689.0,2.9603,2.9603
1472901,5,5,5,0,0,0,1703.0,6.0,1709.0,2.9257,2.9257
2102001,5,5,5,0,0,0,714.0,9.0,723.0,6.9156,6.9156
5432901,5,5,5,0,0,0,1517.0,33.0,1550.0,3.2258,3.2258
2553001,5,5,5,0,0,0,1740.0,2.0,1742.0,2.8703,2.8703
4201201,5,5,5,0,0,0,470.0,8.0,478.0,10.4603,10.4603
4259902,5,5,5,0,0,0,577.0,14.0,591.0,8.4602,8.4602
2465902,5,5,5,0,0,0,618.0,2.0,620.0,8.0645,8.0645
4370001,5,5,5,0,0,0,1218.0,429.0,1647.0,3.0358,3.0358
1851301,5,5,5,0,0,0,4218.0,446.0,4664.0,1.072,1.072
2461001,5,5,5,0,0,0,787.0,3.0,790.0,6.3291,6.3291
1464201,5,5,5,0,0,0,2549.0,11.0,2560.0,1.9531,1.9531
4492102,5,5,5,0,0,0,2635.0,191.0,2826.0,1.7693,1.7693
4812902,5,5,5,0,0,0,1644.0,2.0,1646.0,3.0377,3.0377
4351401,5,5,5,0,0,0,1548.0,80.0,1628.0,3.0713,3.0713
2829201,5,5,5,0,0,0,1821.0,1.0,1822.0,2.7442,2.7442
3164001,5,5,5,0,0,0,272.0,7.0,279.0,17.9211,17.9211
3612001,5,5,5,0,0,0,1371.0,74.0,1445.0,3.4602,3.4602
5241005,5,5,5,0,0,0,365.0,2.0,367.0,13.624,13.624
5801001,5,5,5,0,0,0,707.0,7.0,714.0,7.0028,7.0028
1472902,4,4,4,0,0,0,1705.0,6.0,1711.0,2.3378,2.3378
4293001,4,4,4,0,0,0,1116.0,7.0,1123.0,3.5619,3.5619
2813001,4,4,4,0,0,0,838.0,13.0,851.0,4.7004,4.7004
5243201,4,4,4,0,0,0,517.0,4.0,521.0,7.6775,7.6775
1941101,4,4,4,0,0,0,4015.0,182.0,4197.0,0.9531,0.9531
1841205,4,4,4,0,0,0,1237.0,291.0,1528.0,2.6178,2.6178
3292001,4,4,4,0,0,0,631.0,3.0,634.0,6.3091,6.3091
3562101,4,4,4,0,0,0,1790.0,11.0,1801.0,2.221,2.221
2170901,4,4,4,0,1,0,1729.0,9.0,1738.0,2.3015,2.3015
1841204,4,4,4,0,0,0,1455.0,2158.0,3613.0,1.1071,1.1071
2855201,4,4,4,0,0,0,1364.0,1142.0,2506.0,1.5962,1.5962
3152301,4,4,4,0,0,0,637.0,1.0,638.0,6.2696,6.2696
1471102,4,4,4,0,0,0,3863.0,32.0,3895.0,1.027,1.027
1829901,4,4,4,0,0,0,5130.0,91.0,5221.0,0.7661,0.7661
2108102,4,4,4,0,0,0,584.0,21.0,605.0,6.6116,6.6116
3131301,4,4,4,0,0,0,524.0,1.0,525.0,7.619,7.619
5439001,4,4,4,0,0,0,2581.0,87.0,2668.0,1.4993,1.4993
2563001,4,4,4,0,0,0,2214.0,12.0,2226.0,1.7969,1.7969
1651201,4,4,4,0,0,0,1661.0,27.0,1688.0,2.3697,2.3697
3561201,4,4,4,0,0,0,1858.0,5.0,1863.0,2.1471,2.1471
2773005,4,4,4,0,0,0,1002.0,18.0,1020.0,3.9216,3.9216
1642401,4,4,4,0,0,0,4399.0,903.0,5302.0,0.7544,0.7544
3110401,4,4,4,0,0,0,1204.0,6.0,1210.0,3.3058,3.3058
1631101,4,4,4,0,0,0,901.0,140.0,1041.0,3.8425,3.8425
2522101,4,4,4,1,0,0,1425.0,12.0,1437.0,2.7836,2.7836
2619001,4,4,4,0,0,0,1657.0,55.0,1712.0,2.3364,2.3364
5081201,4,4,4,0,0,0,175.0,1.0,176.0,22.7273,22.7273
2016201,4,4,4,0,0,0,1049.0,11.0,1060.0,3.7736,3.7736
1477402,4,4,4,0,0,0,2323.0,10.0,2333.0,1.7145,1.7145
1474201,4,4,4,0,0,0,2862.0,20.0,2882.0,1.3879,1.3879
5421002,4,4,4,0,0,0,2340.0,55.0,2395.0,1.6701,1.6701
5072901,4,4,4,0,0,0,107.0,3.0,110.0,36.3636,36.3636
1475301,4,4,4,0,0,0,1370.0,7.0,1377.0,2.9049,2.9049
4429001,4,4,4,0,0,0,4796.0,11.0,4807.0,0.8321,0.8321
1711001,4,4,4,0,0,0,6781.0,430.0,7211.0,0.5547,0.5547
4162001,4,4,4,0,0,0,156.0,1.0,157.0,25.4777,25.4777
3108201,3,3,3,0,0,0,823.0,2.0,825.0,3.6364,3.6364
2773006,3,3,3,0,0,0,329.0,4.0,333.0,9.009,9.009
3108904,3,3,3,0,0,0,258.0,4.0,262.0,11.4504,11.4504
2331201,3,3,3,0,0,0,885.0,9.0,894.0,3.3557,3.3557
3581901,3,3,3,0,0,0,973.0,7.0,980.0,3.0612,3.0612
3110403,3,3,3,0,0,0,134.0,0.0,134.0,22.3881,22.3881
5089101,3,3,3,0,0,0,152.0,1.0,153.0,19.6078,19.6078
2879001,3,3,3,0,0,0,432.0,1071.0,1503.0,1.996,1.996
5089902,3,3,3,0,0,0,274.0,3.0,277.0,10.8303,10.8303
5061001,3,3,3,0,0,0,616.0,34.0,650.0,4.6154,4.6154
3139202,3,3,3,0,0,0,122.0,0.0,122.0,24.5902,24.5902
3433001,3,3,3,0,0,0,1047.0,78.0,1125.0,2.6667,2.6667
3101202,3,3,3,0,0,0,264.0,3.0,267.0,11.236,11.236
3581101,3,3,3,0,0,0,650.0,40.0,690.0,4.3478,4.3478
4202907,3,3,3,0,0,0,269.0,0.0,269.0,11.1524,11.1524
5051004,3,3,3,0,0,0,195.0,0.0,195.0,15.3846,15.3846
2592001,3,3,3,0,0,0,605.0,1450.0,2055.0,1.4599,1.4599
3711001,3,3,3,0,0,0,1825.0,205.0,2030.0,1.4778,1.4778
3108302,3,3,3,0,0,0,53.0,0.0,53.0,56.6038,56.6038
5052001,3,3,3,0,0,0,382.0,1.0,383.0,7.8329,7.8329
2201301,3,3,3,0,0,0,368.0,5.0,373.0,8.0429,8.0429
3869201,3,3,3,0,0,0,839.0,1251.0,2090.0,1.4354,1.4354
3960101,3,3,3,0,0,0,2681.0,19.0,2700.0,1.1111,1.1111
2021002,3,3,3,0,0,0,216.0,6.0,222.0,13.5135,13.5135
2021001,3,3,3,0,0,0,1602.0,117.0,1719.0,1.7452,1.7452
2016302,3,3,3,0,0,0,180.0,0.0,180.0,16.6667,16.6667
5301102,3,3,3,0,1,0,1269.0,1.0,1270.0,2.3622,2.3622
4170901,3,3,3,0,0,0,405.0,8.0,413.0,7.2639,7.2639
5331401,3,3,3,0,0,0,426.0,13.0,439.0,6.8337,6.8337
2011401,3,3,3,0,0,0,307.0,16.0,323.0,9.2879,9.2879
1881001,3,3,3,0,0,0,2070.0,526.0,2596.0,1.1556,1.1556
1852101,3,3,3,0,0,0,2593.0,69.0,2662.0,1.127,1.127
4282903,3,3,3,0,0,0,120.0,3.0,123.0,24.3902,24.3902
1799001,3,3,3,0,0,0,3118.0,49.0,3167.0,0.9473,0.9473
1692001,3,3,3,0,0,0,10440.0,595.0,11035.0,0.2719,0.2719
4259201,3,3,3,0,0,0,352.0,3.0,355.0,8.4507,8.4507
5712002,3,3,3,0,0,0,517.0,39.0,556.0,5.3957,5.3957
4151102,3,3,3,0,0,0,516.0,13.0,529.0,5.6711,5.6711
1620901,3,3,3,0,0,0,792.0,8.0,800.0,3.75,3.75
4151101,3,3,3,0,0,0,131.0,3.0,134.0,22.3881,22.3881
1477501,3,3,3,1,0,0,1289.0,1.0,1290.0,2.3256,2.3256
3282101,3,3,3,0,0,0,501.0,11.0,512.0,5.8594,5.8594
1477201,3,3,3,0,0,0,4790.0,5.0,4795.0,0.6257,0.6257
1475902,3,3,3,0,0,0,427.0,2.0,429.0,6.993,6.993
1475202,3,3,3,0,0,0,830.0,1.0,831.0,3.6101,3.6101
1475101,3,3,3,0,0,0,2405.0,6.0,2411.0,1.2443,1.2443
5861001,3,3,3,0,0,0,1007.0,211.0,1218.0,2.4631,2.4631
1466301,3,3,3,0,0,0,1247.0,4.0,1251.0,2.3981,2.3981
1464301,3,3,3,0,0,0,1109.0,3.0,1112.0,2.6978,2.6978
1461002,3,3,3,0,0,0,875.0,15.0,890.0,3.3708,3.3708
3222903,3,3,3,0,0,0,238.0,1.0,239.0,12.5523,12.5523
3239401,3,3,3,0,0,0,382.0,19.0,401.0,7.4813,7.4813
2259901,3,3,3,0,0,0,364.0,3.0,367.0,8.1744,8.1744
2141002,3,3,3,0,0,0,764.0,5.0,769.0,3.9012,3.9012
2311001,3,3,3,0,0,0,455.0,17.0,472.0,6.3559,6.3559
4492201,3,3,3,0,0,0,2102.0,197.0,2299.0,1.3049,1.3049
